date,population
1990-01-01,31.80057187
1991-01-01,31.74412838
1992-01-01,31.68808922
1993-01-01,31.65764815
1994-01-01,31.60448851
1995-01-01,31.5491778
1996-01-01,31.49325784
1997-01-01,31.42043281
1998-01-01,31.37072228
1999-01-01,31.31307687
2000-01-01,31.25372086
2001-01-01,31.21875827
2002-01-01,31.18405219
2003-01-01,31.14891608
2004-01-01,31.1140257
2005-01-01,31.07880733
2006-01-01,31.05347584
2007-01-01,31.02720573
2008-01-01,31.00472307
2009-01-01,30.97880002
2010-01-01,30.95194753
2011-01-01,30.92641109
2012-01-01,30.90160105
2013-01-01,30.87609788
2014-01-01,30.85060099
2015-01-01,30.82510411
